Abbr,State,Year,Population,squaremiles,PopDens,Index,Violent,Property,Murder,Forcible rape,Robbery,Aggravated assault,Burglary,larceny-theft,Vehicle theft,Unemployment,UnemploymentPercent,MedianIncome,Desc
AK,Alaska,2018,735139,570641,1.29,4203,892,3312,6,165,122,599,542,2226,544,3001,3,51113,Highest crime rate
AL,Alabama,2018,4887681,50750,96.31,3361,523,2838,8,42,83,391,595,1971,272,6147,6.15,72231,none
AR,Arkansas,2018,3009733,52075,57.8,3525,562,2963,7,78,53,424,649,2072,243,4707,4.71,61125,none
AZ,Arizona,2018,7158024,113642,62.99,3168,476,2693,5,50,91,329,444,1981,268,3551,3.55,48829,none
CA,California,2018,39461588,155973,253,2834,448,2386,4,39,138,266,417,1576,393,4043,4.04,69759,none
CO,Colorado,2018,5691287,103730,54.87,3113,402,2711,4,76,66,255,382,1942,387,2764,2.76,74172,none
CT,Connecticut,2018,3571520,4845,737.16,1872,210,1662,2,24,62,121,224,1237,201,3726,3.73,72780,none
DE,Delaware,2018,965479,1955,493.85,2743,423,2321,5,35,89,294,327,1842,152,3772,3.77,62318,none
FL,Florida,2018,21244317,53997,393.44,2674,386,2288,5,40,80,262,339,1755,194,3117,3.12,53681,none
GA,Georgia,2018,10511131,57919,181.48,2982,339,2643,6,27,81,225,445,1956,241,3441,3.44,57016,none
HI,Hawaii,2018,1420593,6423,221.17,3143,255,2888,3,50,67,135,402,2084,403,2719,2.72,73575,none
IA,Iowa,2018,3148618,55875,56.35,2075,264,1811,2,36,31,194,395,1255,162,2912,2.91,60208,none
ID,Idaho,2018,1750536,82751,21.15,1715,240,1475,2,53,11,174,285,1078,112,3982,3.98,64609,none
IL,Illinois,2018,12723071,55593,228.86,2350,411,1939,7,48,112,244,309,1474,156,3316,3.32,58873,none
IN,Indiana,2018,6691878,35870,186.56,2562,382,2179,7,35,89,252,378,1573,229,2744,2.74,63481,none
KS,Kansas,2018,2911359,81823,35.58,3102,442,2660,4,57,49,332,439,1948,272,3157,3.16,57872,none
KY,Kentucky,2018,4461153,39732,112.28,2218,218,2000,6,42,55,115,391,1374,235,4296,4.3,51348,none
LA,Louisiana,2018,4659690,43566,106.96,3827,543,3283,11,45,99,388,672,2362,250,4792,4.79,43903,none
MA,Massachusetts,2018,6882635,7838,878.11,1614,340,1274,2,36,59,243,205,973,96,3019,3.02,51664,none
MD,Maryland,2018,6035802,9775,617.47,2506,469,2037,8,33,161,267,313,1522,201,3591,3.59,81084,none
ME,Maine,2018,1339057,30865,43.38,1471,112,1359,2,33,17,60,203,1099,58,2911,2.91,73227,Lowest crime rate
MI,Michigan,2018,9984072,56539,176.59,2117,453,1665,6,79,57,311,319,1171,175,4087,4.09,57700,none
MN,Minnesota,2018,5606249,79617,70.42,2222,221,2001,2,44,53,123,289,1531,181,3217,3.22,71920,none
MO,Missouri,2018,6121623,68898,88.85,3159,501,2658,10,48,85,359,447,1887,324,5422,5.42,43441,none
MS,Mississippi,2018,2986530,46914,63.66,2637,234,2403,6,18,53,157,698,1561,144,3261,3.26,56885,none
MT,Montana,2018,1060665,145556,7.29,2906,381,2526,4,54,26,298,314,1946,266,3482,3.48,59087,none
NC,North Carolina,2018,10381615,48718,213.1,2700,356,2344,6,25,73,252,553,1632,159,3057,3.06,59619,none
ND,North Dakota,2018,758080,68994,10.99,2345,284,2061,2,54,21,207,362,1463,236,3905,3.91,56550,none
NE,Nebraska,2018,1925614,76878,25.05,2377,290,2087,2,67,38,182,276,1557,254,2544,2.54,74801,none
NH,New Hampshire,2018,1353465,8969,150.9,1448,177,1270,2,43,23,83,126,1017,66,3521,3.52,72997,none
NJ,New Jersey,2018,8886025,7419,"1,197.74",1617,209,1408,3,16,72,118,216,1068,124,4861,4.86,47855,none
NM,New Mexico,2018,2092741,121365,17.24,4222,843,3379,7,62,126,647,769,2131,479,3959,3.96,62447,none
NV,Nevada,2018,3034392,109806,27.63,2979,541,2438,7,77,127,330,585,1461,392,3886,3.89,50343,none
NY,New York,2018,19530351,47224,413.57,1792,351,1442,3,34,93,221,160,1215,67,2382,2.38,59886,none
OH,Ohio,2018,11676341,40953,285.12,2503,295,2208,5,50,82,157,424,1614,171,4130,4.13,59768,none
OK,Oklahoma,2018,3940235,68679,57.37,3378,475,2903,6,62,71,336,690,1873,341,3285,3.28,55006,none
OR,Oregon,2018,4181886,96003,43.56,3217,290,2927,2,51,60,178,395,2133,399,3765,3.76,64610,none
PA,Pennsylvania,2018,12800922,44820,285.61,1795,305,1489,6,35,77,187,211,1175,103,4350,4.35,63173,none
RI,Rhode Island,2018,1058287,1034,"1,023.49",1885,220,1665,2,47,43,129,266,1254,145,3571,3.57,66390,none
SC,South Carolina,2018,5084156,30111,168.85,3576,501,3075,8,52,71,370,589,2192,294,2855,2.85,54971,none
SD,South Dakota,2018,878698,75898,11.58,2125,396,1729,1,70,25,300,285,1279,165,3289,3.29,56894,none
TN,Tennessee,2018,6771631,41220,164.28,3479,630,2849,8,45,107,472,495,2048,305,3388,3.39,55240,none
TX,Texas,2018,28628666,261914,109.31,2792,413,2379,5,53,99,257,412,1723,245,3511,3.51,59295,none
UT,Utah,2018,3153550,82168,38.38,2659,239,2419,2,59,39,139,320,1852,248,2612,2.61,71319,none
VA,Virginia,2018,8501286,39598,214.69,1886,204,1681,5,36,43,121,184,1370,127,2382,2.38,63805,none
VT,Vermont,2018,624358,9249,67.51,1500,185,1315,2,52,12,119,240,1033,42,2791,2.79,71293,none
WA,Washington,2018,7523869,66582,113,3283,315,2967,3,48,74,190,537,2059,371,4267,4.27,75418,none
WI,Wisconsin,2018,5807406,54314,106.92,1870,299,1571,3,40,60,196,244,1178,149,4885,4.89,45392,none
WV,West Virginia,2018,1804291,24087,74.91,1846,300,1546,4,40,19,238,328,1096,121,3340,3.34,63451,none
WY,Wyoming,2018,577601,97105,5.95,1998,214,1785,2,45,13,153,269,1381,136,3610,3.61,57837,none
NH,New Hampshire,2010,1316807,8969,146.82,31434,2204,29230,13,411,450,1330,5444,22789,997,3001,3,51113,Highest crime rate
NV,Nevada,2010,2704283,109806,24.63,3437,663,2774,6,36,196,426,824,1573,377,6147,6.15,72231,none
AK,Alaska,2010,714146,570641,1.25,3472,635,2837,4,75,83,473,435,2175,227,4707,4.71,61125,none
DE,Delaware,2010,899792,1955,460.25,4077,623,3454,6,36,204,377,839,2400,215,3551,3.55,48829,none
TN,Tennessee,2010,6346105,41220,153.96,4271,613,3658,6,34,132,442,1012,2412,234,4043,4.04,69759,none
SC,South Carolina,2010,4637106,30111,154,4508,602,3905,6,33,108,455,  997.6,2621,287,2764,2.76,74172,none
NM,New Mexico,2010,2065913,121365,17.02,4014,588,3426,7,46,78,457,1018,2154,254,3726,3.73,72780,none
LA,Louisiana,2010,4545343,43566,104.33,4200,555,3645,11,27,117,401,1000,2426,219,3772,3.77,62318,none
MD,Maryland,2010,5785681,9775,591.89,3542,546,2996,7,21,191,327,634,2050,312,3117,3.12,53681,none
FL,Florida,2010,18838613,53997,348.88,4093,541,3551,5,29,139,369,898,2434,220,3441,3.44,57016,none
AR,Arkansas,2010,2921588,52075,56.1,4057,504,3554,5,45,81,373,1111,2252,190,2719,2.72,73575,none
MI,Michigan,2010,9877143,56539,174.7,3242,493,2749,6,48,117,323,753,1719,278,2912,2.91,60208,none
OK,Oklahoma,2010,3760184,68679,54.75,3924,481,3443,5,39,89,348,1007,2162,274,3982,3.98,64609,none
MA,Massachusetts,2010,6555466,7838,836.37,2826,469,2357,3,27,105,333,578,1604,175,3316,3.32,58873,none
MO,Missouri,2010,5995715,68898,87.02,3808,458,3350,7,24,103,323,737,2344,269,2744,2.74,63481,none
TX,Texas,2010,25253466,261914,96.42,4215,448,3767,5,30,130,283,905,2592,269,3157,3.16,57872,none
IL,Illinois,2010,12841980,55593,231,3163,445,2718,6,24,159,257,603,1890,225,4296,4.3,51348,none
CA,California,2010,37338198,155973,239.39,3070,440,2630,5,22,156,257,613,1608,409,4792,4.79,43903,none
AZ,Arizona,2010,6413158,113642,56.43,3950,414,3537,6,34,108,265,794,2403,339,3019,3.02,51664,none
GA,Georgia,2010,9712157,57919,167.69,4042,402,3639,6,22,127,248,998,2329,312,3591,3.59,81084,none
NY,New York,2010,19395206,47224,410.71,2352,394,1958,5,14,148,228,340,1512,106,2911,2.91,73227,none
AL,Alabama,2010,4785401,50750,94.29,3912,384,3528,6,28, 101.6,248,888,2415,225,4087,4.09,57700,none
KS,Kansas,2010,2859143,81823,34.94,3487,371,3117,3,40,54,274,676,2231,211,3217,3.22,71920,none
PA,Pennsylvania,2010,12717722,44820,283.75,2540,367,2173,5,27,129,205,434,1608,132,5422,5.42,43441,none
NC,North Carolina,2010,9560234,48718,196.24,3806,363,3444,5,21,101,236,1076,2176,192,3261,3.26,56885,none
CO,Colorado,2010,5047692,103730,48.66,2998,324,2675,3,44,63,214,519,1932,223,3482,3.48,59087,none
IN,Indiana,2010,6490622,35870,180.95,3394,323,3070,4,27,101,191,748,2114,208,3057,3.06,59619,none
OH,Ohio,2010,11537968,40953,281.74,3581,315,3266,4,32,143,135,929,2155,183,3905,3.91,56550,none
WA,Washington,2010,6742950,66582,101.27,4013,314,3699,2,38,88,185,819,2499,382,2544,2.54,74801,none
NJ,New Jersey,2010,8799593,7419,"1,186.09",2388,308,2080,4,11,134,158,440,1463,177,3521,3.52,72997,none
WV,West Virginia,2010,1854368,24087,76.99,2528,301,2227,3,20,42,237,581,1516,130,4861,4.86,47855,none
CT,Connecticut,2010,3575498,4845,737.98,2471,282,2189,4,17,99,162,424,1578,187,3959,3.96,62447,none
NE,Nebraska,2010,1830141,76878,23.81,2946,278,2668,3,37,56,183,455,2016,197,3886,3.89,50343,none
MT,Montana,2010,990958,145556,6.81,2840,276,2564,3,34,16,224,373,2035,157,2382,2.38,59886,none
IA,Iowa,2010,3050202,55875,54.59,2522,269,2254,1,29,33,205,549,1580,125,4130,4.13,59768,none
MS,Mississippi,2010,2970072,46914,63.31,3252,269,2983,7,31,94,138,1025,1777,180,3285,3.28,55006,none
SD,South Dakota,2010,816598,75898,10.76,2129,269,1860,3,47,19,200,391,1371, 98.0,3765,3.76,64610,none
HI,Hawaii,2010,1369359,6423,213.2,3577,262,3314,2,28,78,157,639,2324,387,4350,4.35,63173,none
RI,Rhode Island,2010,1052528,1034,"1,017.92",2819,257,2561,3,28,74,152,582,1751,228,3571,3.57,66390,none
OR,Oregon,2010,3838332,96003,39.98,3291,251,3039,3,32,63,154,522,2280,238,2855,2.85,54971,none
WI,Wisconsin,2010,5691659,54314,104.79,2758,249,2509,3,21,79,146,468,1897,143,3289,3.29,56894,none
KY,Kentucky,2010,4347.22,39732,0.11,2795,244,2551,4,33,86,120,700,1714,144,3388,3.39,55240,none
MN,Minnesota,2010,5310658,79617,66.7,2805,236,2569,2,34,64,136,460,1948,162,3511,3.51,59295,none
ND,North Dakota,2010,674629,68994,9.78,2010,230,1780,2,36,13,178,297,1354,128,2612,2.61,71319,none
ID,Idaho,2010,1571102,82751,18.99,2221,221,2001,1,34,14,172,415,1502,85,2382,2.38,63805,none
UT,Utah,2010,2775479,82168,33.78,3396,214,3182,2,35,46,130,544,2423,215,2791,2.79,71293,none
VA,Virginia,2010,8023953,39598,202.64,2550,214,2336,5,20,71,119,384,1819,132,4267,4.27,75418,none
WY,Wyoming,2010,564554,97105,5.81,2655,198,2457,1,29,14,154,381,1971,105,4885,4.89,45392,none
VT,Vermont,2010,625909,9249,67.67,2393,131,2262,1,23,12,95,535,1657,70,3340,3.34,63451,none
ME,Maine,2010,1327379,30865,43.01,2601,122,2479,2,29,31,60,555,1849,75,3610,3.61,57837,Lowest crime rate
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
