TYPE,COUNT,MONTH,YEAR,DATE
Homicide,5,June,2012,06/30/2012 12:00:00 AM
Rape,16,June,2012,06/30/2012 12:00:00 AM
Robbery,100,June,2012,06/30/2012 12:00:00 AM
Assault,152,June,2012,06/30/2012 12:00:00 AM
Burglary,322,June,2012,06/30/2012 12:00:00 AM
Motor Vehicle Theft,94,June,2012,06/30/2012 12:00:00 AM
Homicide,6,July,2012,07/31/2012 12:00:00 AM
Rape,14,July,2012,07/31/2012 12:00:00 AM
Robbery,86,July,2012,07/31/2012 12:00:00 AM
Assault,178,July,2012,07/31/2012 12:00:00 AM
Burglary,404,July,2012,07/31/2012 12:00:00 AM
Motor Vehicle Theft,113,July,2012,07/31/2012 12:00:00 AM
Homicide,5,August,2012,08/31/2012 12:00:00 AM
Rape,17,August,2012,08/31/2012 12:00:00 AM
Robbery,160,August,2012,08/31/2012 12:00:00 AM
Assault,202,August,2012,08/31/2012 12:00:00 AM
Burglary,402,August,2012,08/31/2012 12:00:00 AM
Motor Vehicle Theft,116,August,2012,08/31/2012 12:00:00 AM
Homicide,4,September,2012,09/30/2012 12:00:00 AM
Rape,8,September,2012,09/30/2012 12:00:00 AM
Robbery,130,September,2012,09/30/2012 12:00:00 AM
Assault,157,September,2012,09/30/2012 12:00:00 AM
Burglary,393,September,2012,09/30/2012 12:00:00 AM
Motor Vehicle Theft,85,September,2012,09/30/2012 12:00:00 AM
Homicide,7,October,2012,10/31/2012 12:00:00 AM
Rape,11,October,2012,10/31/2012 12:00:00 AM
Robbery,108,October,2012,10/31/2012 12:00:00 AM
Assault,144,October,2012,10/31/2012 12:00:00 AM
Burglary,394,October,2012,10/31/2012 12:00:00 AM
Motor Vehicle Theft,109,October,2012,10/31/2012 12:00:00 AM
Homicide,4,November,2012,11/30/2012 12:00:00 AM
Rape,9,November,2012,11/30/2012 12:00:00 AM
Robbery,117,November,2012,11/30/2012 12:00:00 AM
Assault,128,November,2012,11/30/2012 12:00:00 AM
Burglary,312,November,2012,11/30/2012 12:00:00 AM
Motor Vehicle Theft,96,November,2012,11/30/2012 12:00:00 AM
Homicide,4,December,2012,12/31/2012 12:00:00 AM
Rape,6,December,2012,12/31/2012 12:00:00 AM
Robbery,130,December,2012,12/31/2012 12:00:00 AM
Assault,106,December,2012,12/31/2012 12:00:00 AM
Burglary,310,December,2012,12/31/2012 12:00:00 AM
Motor Vehicle Theft,90,December,2012,12/31/2012 12:00:00 AM
Homicide,1,January,2013,01/31/2013 12:00:00 AM
Rape,7,January,2013,01/31/2013 12:00:00 AM
Robbery,100,January,2013,01/31/2013 12:00:00 AM
Assault,124,January,2013,01/31/2013 12:00:00 AM
Burglary,241,January,2013,01/31/2013 12:00:00 AM
Motor Vehicle Theft,98,January,2013,01/31/2013 12:00:00 AM
Homicide,2,February,2013,02/28/2013 12:00:00 AM
Rape,8,February,2013,02/28/2013 12:00:00 AM
Robbery,80,February,2013,02/28/2013 12:00:00 AM
Assault,95,February,2013,02/28/2013 12:00:00 AM
Burglary,212,February,2013,02/28/2013 12:00:00 AM
Motor Vehicle Theft,55,February,2013,02/28/2013 12:00:00 AM
Homicide,4,March,2013,03/31/2013 12:00:00 AM
Rape,15,March,2013,03/31/2013 12:00:00 AM
Robbery,99,March,2013,03/31/2013 12:00:00 AM
Assault,126,March,2013,03/31/2013 12:00:00 AM
Burglary,278,March,2013,03/31/2013 12:00:00 AM
Motor Vehicle Theft,68,March,2013,03/31/2013 12:00:00 AM
Homicide,4,April,2013,04/30/2013 12:00:00 AM
Rape,12,April,2013,04/30/2013 12:00:00 AM
Robbery,116,April,2013,04/30/2013 12:00:00 AM
Assault,144,April,2013,04/30/2013 12:00:00 AM
Burglary,277,April,2013,04/30/2013 12:00:00 AM
Motor Vehicle Theft,75,April,2013,04/30/2013 12:00:00 AM
Homicide,4,May,2013,05/31/2013 12:00:00 AM
Rape,17,May,2013,05/31/2013 12:00:00 AM
Robbery,89,May,2013,05/31/2013 12:00:00 AM
Assault,171,May,2013,05/31/2013 12:00:00 AM
Burglary,278,May,2013,05/31/2013 12:00:00 AM
Motor Vehicle Theft,78,May,2013,05/31/2013 12:00:00 AM
Homicide,3,June,2013,06/30/2013 12:00:00 AM
Rape,14,June,2013,06/30/2013 12:00:00 AM
Robbery,130,June,2013,06/30/2013 12:00:00 AM
Assault,171,June,2013,06/30/2013 12:00:00 AM
Burglary,330,June,2013,06/30/2013 12:00:00 AM
Motor Vehicle Theft,99,June,2013,06/30/2013 12:00:00 AM
Homicide,5,July,2013,07/31/2013 12:00:00 AM
Rape,12,July,2013,07/31/2013 12:00:00 AM
Robbery,115,July,2013,07/31/2013 12:00:00 AM
Assault,182,July,2013,07/31/2013 12:00:00 AM
Burglary,342,July,2013,07/31/2013 12:00:00 AM
Motor Vehicle Theft,109,July,2013,07/31/2013 12:00:00 AM
Homicide,5,August,2013,08/31/2013 12:00:00 AM
Rape,18,August,2013,08/31/2013 12:00:00 AM
Robbery,139,August,2013,08/31/2013 12:00:00 AM
Assault,183,August,2013,08/31/2013 12:00:00 AM
Burglary,304,August,2013,08/31/2013 12:00:00 AM
Motor Vehicle Theft,85,August,2013,08/31/2013 12:00:00 AM
Homicide,4,September,2013,09/30/2013 12:00:00 AM
Rape,12,September,2013,09/30/2013 12:00:00 AM
Robbery,121,September,2013,09/30/2013 12:00:00 AM
Assault,149,September,2013,09/30/2013 12:00:00 AM
Burglary,317,September,2013,09/30/2013 12:00:00 AM
Motor Vehicle Theft,73,September,2013,09/30/2013 12:00:00 AM
Homicide,4,October,2013,10/31/2013 12:00:00 AM
Rape,9,October,2013,10/31/2013 12:00:00 AM
Robbery,132,October,2013,10/31/2013 12:00:00 AM
Assault,121,October,2013,10/31/2013 12:00:00 AM
Burglary,336,October,2013,10/31/2013 12:00:00 AM
Motor Vehicle Theft,73,October,2013,10/31/2013 12:00:00 AM
Homicide,4,November,2013,11/30/2013 12:00:00 AM
Rape,13,November,2013,11/30/2013 12:00:00 AM
Robbery,96,November,2013,11/30/2013 12:00:00 AM
Assault,117,November,2013,11/30/2013 12:00:00 AM
Burglary,263,November,2013,11/30/2013 12:00:00 AM
Motor Vehicle Theft,80,November,2013,11/30/2013 12:00:00 AM
Homicide,7,December,2013,12/31/2013 12:00:00 AM
Rape,10,December,2013,12/31/2013 12:00:00 AM
Robbery,111,December,2013,12/31/2013 12:00:00 AM
