report_year,agency_jurisdiction,population,violent_crimes,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1982,"Aurora, CO",167408,1406,839.86,5.97,45.4,577.63,210.86
1982,"Austin, TX",370331,1532,413.68,15.39,63.46,163.37,171.47
1982,"Baltimore County, MD",662646,6539,986.8,4.98,24.9,770.09,186.83
1982,"Baltimore, MD",798175,16683,2090.14,28.44,68.91,821.75,1171.05
1982,"Boston, MA",567758,10970,1932.16,16.38,64.46,701,1150.31
1982,"Buffalo, NY",360493,3557,986.7,11.65,68.52,448,458.54
1982,"Charlotte, NC",320119,4100,1280.77,14.99,61.85,894.67,309.26
1982,"Chicago, IL",3010862,26404,876.96,22.19,36.93,276.23,541.61
1982,"Cincinnati, OH",383975,3757,978.45,13.54,74.22,476.85,413.83
1982,"Cleveland, OH",573944,9386,1635.35,33.98,109.42,569.22,922.74
1982,"Columbus, OH",563680,4590,814.29,16.32,58.9,294.32,444.76
1982,"Dallas, TX",970624,13053,1344.8,31.53,113.84,612.7,586.74
1982,"Denver, CO",517638,4935,953.37,13.14,99.68,379.61,460.94
1982,"Detroit, MI",1181868,23746,2009.19,43.41,98.74,510.12,1356.92
1982,"El Paso, TX",458429,3922,855.53,8.94,47.77,595.51,203.3
1982,"Fairfax County, VA",586631,966,164.67,1.7,15.51,58.64,88.81
1982,"Fort Worth, TX",412661,4901,1187.66,24.96,113.89,507.68,541.12
1982,"Fresno, CA",226300,2182,964.21,14.58,68.49,345.56,535.57
1982,"Honolulu, HI",785181,2151,273.95,3.18,34.26,50.94,185.56
1982,"Houston, TX",1679607,17801,1059.83,40.37,75.61,206.06,737.79
1982,"Indianapolis, IN",462657,4341,938.28,14.91,83.65,408.94,430.77
1982,"Jacksonville, FL",590957,5643,954.89,14.05,71.41,505.28,364.16
1982,"Kansas City, MO",451397,6729,1490.71,20.6,83.3,776.26,610.55
1982,"Las Vegas, NV",424252,4470,1053.62,20.74,67.41,319.86,645.61
1982,"Long Beach, CA",374974,4498,1199.55,18.13,73.87,340.02,767.52
1982,"Los Angeles County, CA",1071752,11870,1107.53,14.74,60.56,650.43,381.8
1982,"Los Angeles, CA",3101979,53957,1739.44,27.37,87.23,656.77,968.06
1982,"Louisville, KY",,,,,,,
1982,"Memphis, TN",659913,7609,1153.03,18.49,108.04,359.14,667.36
1982,"Mesa, AZ",157634,705,447.24,1.9,25.38,338.13,81.84
1982,"Miami-Dade County, FL",843210,12088,1433.57,25.62,58.35,741.1,608.51
1982,"Miami, FL",365506,9963,2725.81,51.98,95.48,1176.72,1401.62
1982,"Milwaukee, WI",645231,3593,556.85,9.61,30.07,193.73,323.45
1982,"Minneapolis, MN",376704,4247,1127.41,9.56,83.35,348.81,685.68
1982,"Montgomery County, MD",528399,1719,325.32,3.6,31.42,161.24,129.07
1982,"Nashville, TN",462507,3248,702.26,14.49,69.4,259.02,359.35
1982,"Nassau County, NY",1058247,1685,159.23,1.89,3.69,46.02,107.63
1982,"New Orleans, LA",579338,8604,1485.14,40.22,84.23,479.34,881.35
1982,"New York City, NY",7096559,143943,2028.35,23.5,49.98,602.88,1351.98
1982,"Newark, NJ",334414,10704,3200.82,34.99,146.23,1107.91,1911.7
1982,"Oakland, CA",355868,6609,1857.15,26.41,123.92,809.29,897.52
1982,"Oklahoma City, OK",425093,4286,1008.25,20.94,90.8,472.84,423.67
